problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
WFG1,7,1.123384e+02 +- 1.123384e+02,1.102978e+02 +- 1.102978e+02,1.114755e+02 +- 1.114755e+02,1.114755e+02 +- 1.114755e+02,1.114755e+02 +- 1.114755e+02,1.114755e+02 +- 1.114755e+02,1.114755e+02 +- 1.114755e+02,1.064192e+02 +- 1.064192e+02,1.120288e+02 +- 1.120288e+02,1.122759e+02 +- 1.122759e+02,1.055307e+02 +- 1.055307e+02
WFG1,10,,,,,,,,,,,
WFG2,2,2.116263e+01 +- 2.116263e+01,2.157365e+01 +- 2.157365e+01,2.205773e+01 +- 2.205773e+01,2.210199e+01 +- 2.210199e+01,2.154847e+01 +- 2.154847e+01,2.247733e+01 +- 2.247733e+01,2.166393e+01 +- 2.166393e+01,2.253720e+01 +- 2.253720e+01,2.114649e+01 +- 2.114649e+01,2.155788e+01 +- 2.155788e+01,2.215049e+01 +- 2.215049e+01
WFG2,3,7.706889e+01 +- 7.706889e+01,7.934221e+01 +- 7.934221e+01,8.067683e+01 +- 8.067683e+01,7.782096e+01 +- 7.782096e+01,7.755351e+01 +- 7.755351e+01,8.094520e+01 +- 8.094520e+01,7.745565e+01 +- 7.745565e+01,7.807362e+01 +- 7.807362e+01,7.911418e+01 +- 7.911418e+01,8.036306e+01 +- 8.036306e+01,7.944494e+01 +- 7.944494e+01
WFG2,4,8.736292e+01 +- 8.736292e+01,8.352427e+01 +- 8.352427e+01,9.076609e+01 +- 9.076609e+01,9.011256e+01 +- 9.011256e+01,8.614772e+01 +- 8.614772e+01,8.220871e+01 +- 8.220871e+01,8.905240e+01 +- 8.905240e+01,8.578999e+01 +- 8.578999e+01,8.625725e+01 +- 8.625725e+01,8.672497e+01 +- 8.672497e+01,8.803242e+01 +- 8.803242e+01
WFG2,5,9.634077e+01 +- 9.634077e+01,9.546460e+01 +- 9.546460e+01,9.625584e+01 +- 9.625584e+01,9.548511e+01 +- 9.548511e+01,9.598087e+01 +- 9.598087e+01,9.092378e+01 +- 9.092378e+01,9.137465e+01 +- 9.137465e+01,9.335261e+01 +- 9.335261e+01,9.552546e+01 +- 9.552546e+01,9.521988e+01 +- 9.521988e+01,9.920580e+01 +- 9.920580e+01
WFG2,6,1.068788e+02 +- 1.068788e+02,1.046561e+02 +- 1.046561e+02,1.080866e+02 +- 1.080866e+02,1.072995e+02 +- 1.072995e+02,1.063518e+02 +- 1.063518e+02,1.052881e+02 +- 1.052881e+02,1.054210e+02 +- 1.054210e+02,1.033182e+02 +- 1.033182e+02,1.046639e+02 +- 1.046639e+02,1.015393e+02 +- 1.015393e+02,1.024364e+02 +- 1.024364e+02
WFG2,7,1.082681e+02 +- 1.082681e+02,1.093625e+02 +- 1.093625e+02,1.108129e+02 +- 1.108129e+02,1.069646e+02 +- 1.069646e+02,1.105999e+02 +- 1.105999e+02,1.060276e+02 +- 1.060276e+02,1.107495e+02 +- 1.107495e+02,1.121355e+02 +- 1.121355e+02,1.100186e+02 +- 1.100186e+02,1.106266e+02 +- 1.106266e+02,1.109971e+02 +- 1.109971e+02
WFG2,10,,,,,,,,,,,
WFG3,2,2.291146e+01 +- 2.291146e+01,2.291851e+01 +- 2.291851e+01,2.294570e+01 +- 2.294570e+01,2.289967e+01 +- 2.289967e+01,2.288741e+01 +- 2.288741e+01,2.292911e+01 +- 2.292911e+01,2.290143e+01 +- 2.290143e+01,2.293204e+01 +- 2.293204e+01,2.289590e+01 +- 2.289590e+01,2.290140e+01 +- 2.290140e+01,2.287974e+01 +- 2.287974e+01
WFG3,3,6.785450e+01 +- 6.785450e+01,6.754893e+01 +- 6.754893e+01,6.704372e+01 +- 6.704372e+01,6.801147e+01 +- 6.801147e+01,6.954420e+01 +- 6.954420e+01,6.845422e+01 +- 6.845422e+01,6.750957e+01 +- 6.750957e+01,6.808115e+01 +- 6.808115e+01,6.620575e+01 +- 6.620575e+01,6.615559e+01 +- 6.615559e+01,6.960728e+01 +- 6.960728e+01
WFG3,4,9.996417e+01 +- 9.996417e+01,1.014764e+02 +- 1.014764e+02,9.898267e+01 +- 9.898267e+01,9.978102e+01 +- 9.978102e+01,1.005675e+02 +- 1.005675e+02,1.000968e+02 +- 1.000968e+02,1.008437e+02 +- 1.008437e+02,9.954564e+01 +- 9.954564e+01,1.003402e+02 +- 1.003402e+02,9.894418e+01 +- 9.894418e+01,9.981208e+01 +- 9.981208e+01
WFG3,5,1.103020e+02 +- 1.103020e+02,1.116318e+02 +- 1.116318e+02,1.093402e+02 +- 1.093402e+02,1.098886e+02 +- 1.098886e+02,1.104858e+02 +- 1.104858e+02,1.104580e+02 +- 1.104580e+02,1.091384e+02 +- 1.091384e+02,1.086805e+02 +- 1.086805e+02,1.089837e+02 +- 1.089837e+02,1.095900e+02 +- 1.095900e+02,1.099586e+02 +- 1.099586e+02
WFG3,6,1.149778e+02 +- 1.149778e+02,1.152468e+02 +- 1.152468e+02,1.157472e+02 +- 1.157472e+02,1.156194e+02 +- 1.156194e+02,1.150426e+02 +- 1.150426e+02,1.155922e+02 +- 1.155922e+02,1.153205e+02 +- 1.153205e+02,1.147981e+02 +- 1.147981e+02,1.153813e+02 +- 1.153813e+02,1.159813e+02 +- 1.159813e+02,1.157339e+02 +- 1.157339e+02
