problema,dimension,Indicador,w_0,Indicador_diversidad,victoria
WFG8,2,igd,0.001,IGD+,False
WFG8,2,igd,0.1,IGD+,False
WFG8,2,igd,0.2,IGD+,False
WFG8,2,igd,0.3,IGD+,False
WFG8,2,igd,0.4,IGD+,False
WFG8,2,igd,0.5,IGD+,False
WFG8,2,igd,0.6000000000000001,IGD+,False
WFG8,2,igd,0.7000000000000001,IGD+,False
WFG8,2,igd,0.8,IGD+,False
WFG8,2,igd,0.9,IGD+,False
WFG8,2,igd,0.999,IGD+,False
WFG8,3,igd,0.001,IGD+,False
WFG8,3,igd,0.1,IGD+,False
WFG8,3,igd,0.2,IGD+,False
WFG8,3,igd,0.3,IGD+,True
WFG8,3,igd,0.4,IGD+,True
WFG8,3,igd,0.5,IGD+,True
WFG8,3,igd,0.6000000000000001,IGD+,True
WFG8,3,igd,0.7000000000000001,IGD+,True
WFG8,3,igd,0.8,IGD+,True
WFG8,3,igd,0.9,IGD+,True
WFG8,3,igd,0.999,IGD+,True
WFG8,4,igd,0.001,IGD+,True
WFG8,4,igd,0.1,IGD+,True
WFG8,4,igd,0.2,IGD+,True
WFG8,4,igd,0.3,IGD+,True
WFG8,4,igd,0.4,IGD+,True
WFG8,4,igd,0.5,IGD+,True
WFG8,4,igd,0.6000000000000001,IGD+,True
WFG8,4,igd,0.7000000000000001,IGD+,True
WFG8,4,igd,0.8,IGD+,True
WFG8,4,igd,0.9,IGD+,True
WFG8,4,igd,0.999,IGD+,True
WFG8,5,igd,0.001,IGD+,False
WFG8,5,igd,0.1,IGD+,False
WFG8,5,igd,0.2,IGD+,False
WFG8,5,igd,0.3,IGD+,False
WFG8,5,igd,0.4,IGD+,False
WFG8,5,igd,0.5,IGD+,False
WFG8,5,igd,0.6000000000000001,IGD+,False
WFG8,5,igd,0.7000000000000001,IGD+,False
WFG8,5,igd,0.8,IGD+,False
WFG8,5,igd,0.9,IGD+,False
WFG8,5,igd,0.999,IGD+,False
WFG8,6,igd,0.001,IGD+,False
WFG8,6,igd,0.1,IGD+,False
WFG8,6,igd,0.2,IGD+,False
WFG8,6,igd,0.3,IGD+,False
WFG8,6,igd,0.4,IGD+,False
WFG8,6,igd,0.5,IGD+,False
WFG8,6,igd,0.6000000000000001,IGD+,False
WFG8,6,igd,0.7000000000000001,IGD+,False
WFG8,6,igd,0.8,IGD+,False
WFG8,6,igd,0.9,IGD+,False
WFG8,6,igd,0.999,IGD+,False
WFG8,7,igd,0.001,IGD+,True
WFG8,7,igd,0.1,IGD+,True
WFG8,7,igd,0.2,IGD+,True
WFG8,7,igd,0.3,IGD+,True
WFG8,7,igd,0.4,IGD+,True
WFG8,7,igd,0.5,IGD+,True
WFG8,7,igd,0.6000000000000001,IGD+,True
WFG8,7,igd,0.7000000000000001,IGD+,True
WFG8,7,igd,0.8,IGD+,True
