n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,DTLZ7,igd+,IGD+,0.13173076947992868,0
2,DTLZ7,igd+,R2,0.04424280545053034,1
2,DTLZ7,r2,EPS+,1.0561832311751307e-11,1
2,DTLZ7,r2,IGD+,0.562248831337985,0
2,DTLZ7,r2,R2,0.41804394635463815,0
2,DTLZ7,s-energy,EPS+,5.1440454765322007e-33,1
2,DTLZ7,s-energy,IGD+,0.0015312217733807999,1
2,DTLZ7,s-energy,R2,0.4107258936852127,0
2,DTLZ7,spd,EPS+,5.101751732299488e-24,1
2,DTLZ7,spd,IGD+,0.2822353922628747,0
2,DTLZ7,spd,R2,0.8961336288917905,0
2,WFG1,eps+,EPS+,0.6731403089262857,0
2,WFG1,eps+,IGD+,0.1915802722187505,0
2,WFG1,eps+,R2,0.5209256854620139,0
2,WFG1,hv,EPS+,0.6439296699965871,0
2,WFG1,hv,IGD+,0.5555458726852709,0
2,WFG1,hv,R2,0.8676063857466354,0
2,WFG1,igd,EPS+,0.6306129910098625,0
2,WFG1,igd,IGD+,0.5312410328820005,0
2,WFG1,igd,R2,0.8953882121777428,0
2,WFG1,igd+,EPS+,0.6323890100473556,0
2,WFG1,igd+,IGD+,0.5312410328820005,0
2,WFG1,igd+,R2,0.8923892644006094,0
2,WFG1,r2,EPS+,0.00023994612797052596,1
2,WFG1,r2,IGD+,0.2491024675024994,0
2,WFG1,r2,R2,0.5072797634154799,0
2,WFG1,s-energy,EPS+,1.1886410494705972e-29,1
2,WFG1,s-energy,IGD+,0.42078536191672156,0
2,WFG1,s-energy,R2,0.9581002385347032,0
2,WFG1,spd,EPS+,1.773756080506726e-16,1
2,WFG1,spd,IGD+,0.6243968755865469,0
2,WFG1,spd,R2,0.5730750372044933,0
2,WFG2,eps+,EPS+,0.4721296214891748,0
2,WFG2,eps+,IGD+,0.8190675640870018,0
2,WFG2,eps+,R2,0.9304203070906346,0
2,WFG2,hv,EPS+,0.6837065399801393,0
2,WFG2,hv,IGD+,0.897167445488158,0
2,WFG2,hv,R2,0.9830840932312683,0
2,WFG2,igd,EPS+,0.0005474985217632294,1
2,WFG2,igd,IGD+,0.06141635019949388,0
2,WFG2,igd,R2,0.3428392263701882,0
2,WFG2,igd+,EPS+,0.739101706010302,0
2,WFG2,igd+,IGD+,0.8448334644665692,0
2,WFG2,igd+,R2,0.986102517454306,0
2,WFG2,r2,EPS+,0.004804952978983637,1
2,WFG2,r2,IGD+,0.3146691329953259,0
2,WFG2,r2,R2,0.9798865355472796,0
2,WFG2,s-energy,EPS+,2.1911129158597746e-18,1
2,WFG2,s-energy,IGD+,0.11905221652274223,0
2,WFG2,s-energy,R2,0.0793333656134251,0
2,WFG2,spd,EPS+,8.884508437254883e-07,1
2,WFG2,spd,IGD+,0.15589599285220396,0
2,WFG2,spd,R2,0.02865650802192376,1
2,WFG3,eps+,EPS+,0.27248287684154165,0
2,WFG3,eps+,IGD+,0.5312410328820005,0
2,WFG3,eps+,R2,0.0039024274596209468,1
2,WFG3,hv,EPS+,0.022667394506515202,1
2,WFG3,hv,IGD+,0.4184522483073809,0
2,WFG3,hv,R2,0.3101037212232007,0
2,WFG3,igd,EPS+,0.16525777841622813,0
2,WFG3,igd,IGD+,0.7617615582254397,0
2,WFG3,igd,R2,0.01006341795573003,1
2,WFG3,igd+,EPS+,0.03012435562741895,1
2,WFG3,igd+,IGD+,0.28749755900384744,0
2,WFG3,igd+,R2,0.2742542348229948,0
2,WFG3,r2,EPS+,0.07456538064314037,0
2,WFG3,r2,IGD+,0.5286560497148146,0
2,WFG3,r2,R2,0.26605874517110384,0
2,WFG3,s-energy,EPS+,1.429924573188855e-05,1
2,WFG3,s-energy,IGD+,0.5555458726852709,0
2,WFG3,s-energy,R2,0.1680735411146225,0
2,WFG3,spd,EPS+,1.4369386389208415e-09,1
2,WFG3,spd,IGD+,0.21685198486191348,0
2,WFG3,spd,R2,4.819272802019401e-09,1
2,WFG4,eps+,EPS+,0.011509377129316791,1
2,WFG4,eps+,IGD+,1.3146616666526936e-17,1
2,WFG4,eps+,R2,3.8021042040662885e-15,1
2,WFG4,hv,EPS+,0.052411968331185554,0
2,WFG4,hv,IGD+,2.9737502087478636e-06,1
2,WFG4,hv,R2,3.0423107180176147e-13,1
2,WFG4,igd,EPS+,1.3051246377369135e-34,1
2,WFG4,igd,IGD+,0.0182480958784776,1
2,WFG4,igd,R2,1.724608506460254e-10,1
2,WFG4,igd+,EPS+,1.0317101567412952e-07,1
2,WFG4,igd+,IGD+,2.7621632696432484e-16,1
2,WFG4,igd+,R2,6.336514813690106e-20,1
2,WFG4,r2,EPS+,7.47627081558905e-35,1
2,WFG4,r2,IGD+,0.00015464545707636427,1
2,WFG4,r2,R2,4.435969467524478e-08,1
2,WFG4,s-energy,EPS+,1.0498844601596334e-34,1
2,WFG4,s-energy,IGD+,0.1030658373108254,0
2,WFG4,s-energy,R2,0.0007545533150575183,1
2,WFG4,spd,EPS+,6.532414674061784e-35,1
2,WFG4,spd,IGD+,0.43969606897671476,0
2,WFG4,spd,R2,0.9422915159102048,0
2,WFG5,eps+,EPS+,0.013003684883967808,1
2,WFG5,eps+,IGD+,0.4167998917076984,0
2,WFG5,eps+,R2,0.5623007025327686,0
2,WFG5,hv,EPS+,0.016505462717770775,1
2,WFG5,hv,IGD+,0.31013012201159085,0
2,WFG5,hv,R2,0.7220713647236119,0
2,WFG5,igd,EPS+,8.351506585684422e-21,1
2,WFG5,igd,IGD+,0.6985985835577241,0
2,WFG5,igd,R2,0.4754316636460135,0
2,WFG5,igd+,EPS+,0.04789851557387741,1
2,WFG5,igd+,IGD+,0.7926486312612072,0
2,WFG5,igd+,R2,0.5765946639838411,0
2,WFG5,r2,EPS+,1.770207501507511e-26,1
2,WFG5,r2,IGD+,0.2513157712901817,0
2,WFG5,r2,R2,0.6124537927466638,0
2,WFG5,s-energy,EPS+,1.697984335073635e-32,1
2,WFG5,s-energy,IGD+,0.44770061767041447,0
2,WFG5,s-energy,R2,0.19248231964396595,0
2,WFG5,spd,EPS+,8.004395268247287e-21,1
2,WFG5,spd,IGD+,0.5995588603641759,0
2,WFG5,spd,R2,0.26317544807698606,0
2,WFG6,eps+,EPS+,0.471305702675731,0
2,WFG6,eps+,IGD+,0.0011722492970618686,1
2,WFG6,eps+,R2,0.024367550792276205,1
2,WFG6,hv,EPS+,0.3992853493133252,0
2,WFG6,hv,IGD+,0.3205708237018068,0
2,WFG6,hv,R2,0.34146170287860045,0
2,WFG6,igd,EPS+,1.781186257141391e-16,1
2,WFG6,igd,IGD+,0.17675640954680408,0
2,WFG6,igd,R2,0.12332495652399199,0
2,WFG6,igd+,EPS+,0.46883780525994556,0
2,WFG6,igd+,IGD+,0.2986647867616229,0
2,WFG6,igd+,R2,0.30245348713629544,0
2,WFG6,r2,EPS+,2.8095853447429636e-29,1
2,WFG6,r2,IGD+,0.28323538565372386,0
2,WFG6,r2,R2,0.39250865286740627,0
2,WFG6,s-energy,EPS+,1.0095516615441825e-34,1
2,WFG6,s-energy,IGD+,8.573721387533445e-06,1
2,WFG6,s-energy,R2,0.055735252780486216,0
2,WFG6,spd,EPS+,4.433853739101672e-35,1
2,WFG6,spd,IGD+,0.13041343265483285,0
2,WFG6,spd,R2,0.4770864704252735,0
2,WFG7,eps+,EPS+,0.0005907957571864999,1
2,WFG7,eps+,IGD+,6.07677398356582e-17,1
2,WFG7,eps+,R2,3.0300097540055075e-19,1
2,WFG7,hv,EPS+,1.5559719548432857e-09,1
2,WFG7,hv,IGD+,5.588759327705966e-23,1
2,WFG7,hv,R2,1.2600621242439094e-25,1
2,WFG7,igd,EPS+,5.440750299560185e-35,1
2,WFG7,igd,IGD+,1.1858921787066365e-13,1
