n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,WFG5,hv,IGD+,0.2766289377167064,0
2,WFG5,hv,R2,0.8812519847850625,0
2,WFG5,igd,IGD+,0.6022162884437194,0
2,WFG5,igd,R2,0.9655324056309003,0
2,WFG5,igd+,IGD+,0.7559379344600048,0
2,WFG5,igd+,R2,0.9465230405994278,0
2,WFG5,r2,IGD+,0.5183573801131488,0
2,WFG5,r2,R2,0.8341375405394627,0
2,WFG5,s-energy,IGD+,0.14953333720064657,0
2,WFG5,s-energy,R2,0.01625551110071863,1
2,WFG5,spd,IGD+,0.48456371221209493,0
2,WFG5,spd,R2,0.7918530328175131,0
2,WFG6,eps+,IGD+,0.029425127274143252,1
2,WFG6,eps+,R2,0.9075204439244647,0
2,WFG6,hv,IGD+,0.5757143703378448,0
2,WFG6,hv,R2,0.9431527233226779,0
2,WFG6,igd,IGD+,0.520069101895909,0
2,WFG6,igd,R2,0.9075204439244647,0
2,WFG6,igd+,IGD+,0.526934966366956,0
2,WFG6,igd+,R2,0.9431527233226779,0
2,WFG6,r2,IGD+,0.6519121090860713,0
2,WFG6,r2,R2,0.9332707871754453,0
2,WFG6,s-energy,IGD+,0.0006073540755295346,1
2,WFG6,s-energy,R2,0.6270608793359845,0
2,WFG6,spd,IGD+,0.5030424650508698,0
2,WFG6,spd,R2,0.5837135424343564,0
2,WFG7,eps+,IGD+,4.77717397759001e-08,1
2,WFG7,eps+,R2,0.20443914390745616,0
2,WFG7,hv,IGD+,7.494164840708806e-11,1
2,WFG7,hv,R2,0.307502879563918,0
2,WFG7,igd,IGD+,2.490354411034456e-07,1
2,WFG7,igd,R2,0.5748979550995189,0
2,WFG7,igd+,IGD+,4.056504455839485e-11,1
2,WFG7,igd+,R2,0.33052519543742365,0
2,WFG7,r2,IGD+,7.804566741485591e-07,1
2,WFG7,r2,R2,0.40154169607530676,0
2,WFG7,s-energy,IGD+,0.018923591049118536,1
2,WFG7,s-energy,R2,0.9719009366821382,0
2,WFG7,spd,IGD+,0.183178185522792,0
2,WFG7,spd,R2,0.8543025166496045,0
2,WFG8,eps+,IGD+,0.813733379281679,0
2,WFG8,eps+,R2,0.14374366312746756,0
2,WFG8,hv,IGD+,0.8121989272314252,0
2,WFG8,hv,R2,0.31271834985668345,0
2,WFG8,igd,IGD+,0.28142256734213744,0
2,WFG8,igd,R2,0.2707198032035874,0
2,WFG8,igd+,IGD+,0.7609319475432558,0
2,WFG8,igd+,R2,0.514939804931829,0
2,WFG8,r2,IGD+,0.4076574431384801,0
2,WFG8,r2,R2,0.4184522483073809,0
2,WFG8,s-energy,IGD+,0.45334597632184237,0
2,WFG8,s-energy,R2,0.28627518598999735,0
2,WFG8,spd,IGD+,0.19023352452767964,0
2,WFG8,spd,R2,0.3258787372196052,0
2,WFG9,eps+,IGD+,0.00016486664434021034,1
2,WFG9,eps+,R2,0.8735383545534665,0
2,WFG9,hv,IGD+,0.6749039998744133,0
2,WFG9,hv,R2,0.6412672545672066,0
2,WFG9,igd,IGD+,0.015384899362472473,1
2,WFG9,igd,R2,0.9674061547149112,0
2,WFG9,igd+,IGD+,0.39250865286740144,0
2,WFG9,igd+,R2,0.6907270157309062,0
2,WFG9,r2,IGD+,0.7441816473066594,0
2,WFG9,r2,R2,0.7305841522998219,0
2,WFG9,s-energy,IGD+,0.08018962022194662,0
2,WFG9,s-energy,R2,0.3518800313680232,0
2,WFG9,spd,IGD+,0.5081288136377914,0
2,WFG9,spd,R2,0.8273320119243487,0
3,DTLZ1,eps+,IGD+,0.05025025388100221,0
