n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,hv,EPS+,0.999,2.729378e-01,3.642530e-01,7.020903e-01,3.920631e-01,4.347439e-01,5.508413e-01,7.020903e-01,2.374525e-01,4.927177e-01,5.218353e-01,nan
2,DTLZ1,hv,IGD+,0.001,nan,7.020903e-01,7.147017e-01,3.920631e-01,7.509956e-01,8.694506e-01,9.880247e-01,9.681387e-01,9.336367e-01,6.357470e-01,7.847834e-01
2,DTLZ1,hv,IGD+,0.1,3.107567e-01,nan,3.920631e-01,1.941881e-01,6.761723e-01,9.757795e-01,8.350086e-01,9.115734e-01,8.613224e-01,2.852983e-01,6.761723e-01
2,DTLZ1,hv,IGD+,0.2,2.979097e-01,6.219168e-01,nan,2.608366e-01,4.061775e-01,8.158617e-01,9.939604e-01,9.115734e-01,9.473009e-01,2.979097e-01,7.954512e-01
2,DTLZ1,hv,IGD+,0.3,6.219168e-01,8.158617e-01,7.509956e-01,nan,7.270622e-01,8.694506e-01,9.430065e-01,9.836159e-01,8.350086e-01,6.494093e-01,7.509956e-01
2,DTLZ1,hv,IGD+,0.4,2.608366e-01,3.371115e-01,6.079369e-01,2.852983e-01,nan,8.350086e-01,9.285469e-01,8.847437e-01,7.738123e-01,2.152166e-01,6.494093e-01
2,DTLZ1,hv,IGD+,0.5,1.386776e-01,2.658463e-02,1.941881e-01,1.386776e-01,1.744051e-01,nan,4.204111e-01,5.938225e-01,4.061775e-01,1.941881e-01,2.374525e-01
2,DTLZ1,hv,IGD+,0.6,1.332092e-02,1.744051e-01,6.808281e-03,6.154633e-02,7.682323e-02,5.938225e-01,nan,6.357470e-01,3.780832e-01,9.616852e-03,2.729378e-01
2,DTLZ1,hv,IGD+,0.7,3.479004e-02,9.467411e-02,9.467411e-02,1.811695e-02,1.227436e-01,4.204111e-01,3.780832e-01,nan,2.608366e-01,4.127502e-02,1.744051e-01
2,DTLZ1,hv,IGD+,0.8,7.145309e-02,1.471262e-01,5.699348e-02,1.744051e-01,2.374525e-01,6.079369e-01,6.357470e-01,7.509956e-01,nan,1.649914e-01,3.780832e-01
2,DTLZ1,hv,IGD+,0.9,3.780832e-01,7.270622e-01,7.147017e-01,3.642530e-01,7.954512e-01,8.158617e-01,9.914093e-01,9.620743e-01,8.441029e-01,nan,8.441029e-01
2,DTLZ1,hv,IGD+,0.999,2.261877e-01,3.371115e-01,2.152166e-01,2.608366e-01,3.642530e-01,7.738123e-01,7.391634e-01,8.350086e-01,6.357470e-01,1.649914e-01,nan
2,DTLZ1,hv,R2,0.001,nan,2.729378e-01,1.941881e-01,2.729378e-01,4.865360e-02,1.744051e-01,5.363607e-01,7.954512e-01,1.558971e-01,2.045488e-01,2.852983e-01
2,DTLZ1,hv,R2,0.1,7.391634e-01,nan,2.152166e-01,5.652561e-01,2.852983e-01,4.927177e-01,5.938225e-01,8.613224e-01,6.628885e-01,6.494093e-01,7.270622e-01
2,DTLZ1,hv,R2,0.2,8.158617e-01,7.954512e-01,nan,6.357470e-01,2.152166e-01,6.079369e-01,7.509956e-01,9.757795e-01,8.158617e-01,8.441029e-01,9.430065e-01
2,DTLZ1,hv,R2,0.3,7.391634e-01,4.491587e-01,3.780832e-01,nan,6.636333e-02,3.505907e-01,6.892433e-01,8.772564e-01,5.508413e-01,6.892433e-01,6.761723e-01
2,DTLZ1,hv,R2,0.4,9.551525e-01,7.270622e-01,7.954512e-01,9.384537e-01,nan,7.147017e-01,9.384537e-01,9.914093e-01,9.115734e-01,9.053259e-01,9.285469e-01
2,DTLZ1,hv,R2,0.5,8.350086e-01,5.218353e-01,4.061775e-01,6.628885e-01,2.979097e-01,nan,8.528738e-01,9.115734e-01,6.219168e-01,6.079369e-01,8.441029e-01
2,DTLZ1,hv,R2,0.6,4.927177e-01,4.204111e-01,2.608366e-01,3.238277e-01,6.636333e-02,1.558971e-01,nan,7.625475e-01,3.505907e-01,4.491587e-01,4.636393e-01
2,DTLZ1,hv,R2,0.7,2.152166e-01,1.471262e-01,2.658463e-02,1.305494e-01,9.616852e-03,9.467411e-02,2.490044e-01,nan,1.744051e-01,2.979097e-01,3.238277e-01
2,DTLZ1,hv,R2,0.8,8.528738e-01,3.505907e-01,1.941881e-01,4.636393e-01,9.467411e-02,3.920631e-01,6.628885e-01,8.350086e-01,nan,7.954512e-01,6.079369e-01
2,DTLZ1,hv,R2,0.9,8.058119e-01,3.642530e-01,1.649914e-01,3.238277e-01,1.012249e-01,4.061775e-01,5.652561e-01,7.147017e-01,2.152166e-01,nan,4.781647e-01
2,DTLZ1,hv,R2,0.999,7.270622e-01,2.852983e-01,6.154633e-02,3.371115e-01,7.682323e-02,1.649914e-01,5.508413e-01,7.020903e-01,4.061775e-01,5.363607e-01,nan
2,DTLZ1,igd,EPS+,0.001,nan,1.558971e-01,8.247852e-02,3.920631e-01,6.636333e-02,1.811695e-02,1.827240e-03,7.656097e-03,4.484749e-02,5.269909e-02,2.110481e-03
