hiperparam_ind_conv,problema,n_objetivos,w_0,run,indicador,valor_indicador
IGD+,WFG4,6,0.001,12,spd,119.9997
IGD+,WFG4,6,0.001,13,spd,119.9997
IGD+,WFG4,6,0.001,14,spd,119.999
IGD+,WFG4,6,0.001,15,spd,119.9995
IGD+,WFG4,6,0.001,16,spd,120.0
IGD+,WFG4,6,0.001,17,spd,119.9995
IGD+,WFG4,6,0.001,18,spd,119.9998
IGD+,WFG4,6,0.001,19,spd,119.9999
IGD+,WFG4,7,0.001,0,hv,1755837.0
IGD+,WFG4,7,0.001,1,hv,1742526.0
IGD+,WFG4,7,0.001,2,hv,1722838.0
IGD+,WFG4,7,0.001,3,hv,1733011.0
IGD+,WFG4,7,0.001,4,hv,1742185.0
IGD+,WFG4,7,0.001,5,hv,1705181.0
IGD+,WFG4,7,0.001,6,hv,1750031.0
IGD+,WFG4,7,0.001,7,hv,1730378.0
IGD+,WFG4,7,0.001,8,hv,1726655.0
IGD+,WFG4,7,0.001,9,hv,1733718.0
IGD+,WFG4,7,0.001,10,hv,1736828.0
IGD+,WFG4,7,0.001,11,hv,1729438.0
IGD+,WFG4,7,0.001,12,hv,1735901.0
IGD+,WFG4,7,0.001,13,hv,1675340.0
IGD+,WFG4,7,0.001,14,hv,1717703.0
IGD+,WFG4,7,0.001,15,hv,1732472.0
IGD+,WFG4,7,0.001,16,hv,1755955.0
IGD+,WFG4,7,0.001,17,hv,1724253.0
IGD+,WFG4,7,0.001,18,hv,1734931.0
IGD+,WFG4,7,0.001,19,hv,1721006.0
IGD+,WFG1,2,0.001,0,igd+,-0.8838674
IGD+,WFG1,2,0.001,1,igd+,-0.8879873
IGD+,WFG1,2,0.001,2,igd+,-0.8963825
IGD+,WFG1,2,0.001,3,igd+,-0.8883441
IGD+,WFG1,2,0.001,4,igd+,-0.8919035
IGD+,WFG1,2,0.001,5,igd+,-0.8909832
IGD+,WFG1,2,0.001,6,igd+,-0.9084152
IGD+,WFG1,2,0.001,7,igd+,-0.9159238
IGD+,WFG1,2,0.001,8,igd+,-0.8909208
IGD+,WFG1,2,0.001,9,igd+,-0.9210664
IGD+,WFG1,2,0.001,10,igd+,-0.8917059
IGD+,WFG1,2,0.001,11,igd+,-0.899545
IGD+,WFG1,2,0.001,12,igd+,-0.8491572
IGD+,WFG1,2,0.001,13,igd+,-0.9262295
IGD+,WFG1,2,0.001,14,igd+,-0.8797474
IGD+,WFG1,2,0.001,15,igd+,-0.9033223
IGD+,WFG1,2,0.001,16,igd+,-0.8900316
IGD+,WFG1,2,0.001,17,igd+,-0.9220629
IGD+,WFG1,2,0.001,18,igd+,-0.9192655
IGD+,WFG1,2,0.001,19,igd+,-0.9219033
IGD+,DTLZ5,4,0.001,0,hv,11.68007
IGD+,DTLZ5,4,0.001,1,hv,11.67345
IGD+,DTLZ5,4,0.001,2,hv,11.78706
IGD+,DTLZ5,4,0.001,3,hv,11.76721
IGD+,DTLZ5,4,0.001,4,hv,11.72389
IGD+,DTLZ5,4,0.001,5,hv,11.69492
IGD+,DTLZ5,4,0.001,6,hv,11.78175
IGD+,DTLZ5,4,0.001,7,hv,11.74092
IGD+,DTLZ5,4,0.001,8,hv,11.67303
IGD+,DTLZ5,4,0.001,9,hv,11.65987
IGD+,DTLZ5,4,0.001,10,hv,11.68908
IGD+,DTLZ5,4,0.001,11,hv,11.58755
IGD+,DTLZ5,4,0.001,12,hv,11.68544
IGD+,DTLZ5,4,0.001,13,hv,11.66515
IGD+,DTLZ5,4,0.001,14,hv,11.66278
IGD+,DTLZ5,4,0.001,15,hv,11.69624
IGD+,DTLZ5,4,0.001,16,hv,11.74037
IGD+,DTLZ5,4,0.001,17,hv,11.62988
IGD+,DTLZ5,4,0.001,18,hv,11.61867
IGD+,DTLZ5,4,0.001,19,hv,11.70572
IGD+,WFG7,3,0.001,0,r2,6.506291
IGD+,WFG7,3,0.001,1,r2,6.301983
IGD+,WFG7,3,0.001,2,r2,6.597009
IGD+,WFG7,3,0.001,3,r2,7.069616
IGD+,WFG7,3,0.001,4,r2,6.685104
IGD+,WFG7,3,0.001,5,r2,6.103988
IGD+,WFG7,3,0.001,6,r2,7.005794
IGD+,WFG7,3,0.001,7,r2,7.054764
IGD+,WFG7,3,0.001,8,r2,6.662598
IGD+,WFG7,3,0.001,9,r2,7.062209
IGD+,WFG7,3,0.001,10,r2,6.52784
IGD+,WFG7,3,0.001,11,r2,6.604436
IGD+,WFG7,3,0.001,12,r2,6.466151
IGD+,WFG7,3,0.001,13,r2,6.740765
IGD+,WFG7,3,0.001,14,r2,6.78916
IGD+,WFG7,3,0.001,15,r2,6.069043
IGD+,WFG7,3,0.001,16,r2,6.777197
IGD+,WFG7,3,0.001,17,r2,7.345958
IGD+,WFG7,3,0.001,18,r2,6.691171
IGD+,WFG7,3,0.001,19,r2,6.159401
IGD+,DTLZ7,6,0.001,0,spd,118.8543
IGD+,DTLZ7,6,0.001,1,spd,118.8773
IGD+,DTLZ7,6,0.001,2,spd,118.852
IGD+,DTLZ7,6,0.001,3,spd,118.8555
IGD+,DTLZ7,6,0.001,4,spd,118.9041
IGD+,DTLZ7,6,0.001,5,spd,118.7419
IGD+,DTLZ7,6,0.001,6,spd,118.9302
IGD+,DTLZ7,6,0.001,7,spd,118.7115
IGD+,DTLZ7,6,0.001,8,spd,118.9365
IGD+,DTLZ7,6,0.001,9,spd,118.9574
IGD+,DTLZ7,6,0.001,10,spd,118.6585
IGD+,DTLZ7,6,0.001,11,spd,118.9595
IGD+,DTLZ7,6,0.001,12,spd,118.8975
IGD+,DTLZ7,6,0.001,13,spd,118.9152
IGD+,DTLZ7,6,0.001,14,spd,118.947
IGD+,DTLZ7,6,0.001,15,spd,118.7518
IGD+,DTLZ7,6,0.001,16,spd,118.8984
IGD+,DTLZ7,6,0.001,17,spd,119.1251
IGD+,DTLZ7,6,0.001,18,spd,119.0026
IGD+,DTLZ7,6,0.001,19,spd,118.9025
IGD+,DTLZ5,7,0.001,0,r2,1439.428
IGD+,DTLZ5,7,0.001,1,r2,1409.941
IGD+,DTLZ5,7,0.001,2,r2,1612.006
IGD+,DTLZ5,7,0.001,3,r2,991.1523
IGD+,DTLZ5,7,0.001,4,r2,1300.683
IGD+,DTLZ5,7,0.001,5,r2,1097.758
IGD+,DTLZ5,7,0.001,6,r2,1359.034
IGD+,DTLZ5,7,0.001,7,r2,1026.332
IGD+,DTLZ5,7,0.001,8,r2,969.9343
IGD+,DTLZ5,7,0.001,9,r2,1449.197
IGD+,DTLZ5,7,0.001,10,r2,997.9755
IGD+,DTLZ5,7,0.001,11,r2,1273.565
IGD+,DTLZ5,7,0.001,12,r2,1302.096
IGD+,DTLZ5,7,0.001,13,r2,1284.312
IGD+,DTLZ5,7,0.001,14,r2,1515.674
IGD+,DTLZ5,7,0.001,15,r2,1004.618
IGD+,DTLZ5,7,0.001,16,r2,1512.071
IGD+,DTLZ5,7,0.001,17,r2,1714.915
IGD+,DTLZ5,7,0.001,18,r2,1503.602
IGD+,DTLZ5,7,0.001,19,r2,1019.308
IGD+,WFG8,3,0.001,0,igd,-0.2357375
IGD+,WFG8,3,0.001,1,igd,-0.2243769
IGD+,WFG8,3,0.001,2,igd,-0.2307552
IGD+,WFG8,3,0.001,3,igd,-0.229754
IGD+,WFG8,3,0.001,4,igd,-0.2258635
IGD+,WFG8,3,0.001,5,igd,-0.2280458
IGD+,WFG8,3,0.001,6,igd,-0.2259657
IGD+,WFG8,3,0.001,7,igd,-0.2259171
IGD+,WFG8,3,0.001,8,igd,-0.2355299
IGD+,WFG8,3,0.001,9,igd,-0.231984
IGD+,WFG8,3,0.001,10,igd,-0.2301922
IGD+,WFG8,3,0.001,11,igd,-0.2360297
IGD+,WFG8,3,0.001,12,igd,-0.226502
IGD+,WFG8,3,0.001,13,igd,-0.2362542
IGD+,WFG8,3,0.001,14,igd,-0.236474
IGD+,WFG8,3,0.001,15,igd,-0.2342468
IGD+,WFG8,3,0.001,16,igd,-0.2332574
IGD+,WFG8,3,0.001,17,igd,-0.2315577
IGD+,WFG8,3,0.001,18,igd,-0.2303808
IGD+,WFG8,3,0.001,19,igd,-0.2347706
IGD+,DTLZ2,2,0.001,0,eps+,-0.0048991
IGD+,DTLZ2,2,0.001,1,eps+,-0.0049555
IGD+,DTLZ2,2,0.001,2,eps+,-0.0084121
IGD+,DTLZ2,2,0.001,3,eps+,-0.0045166
IGD+,DTLZ2,2,0.001,4,eps+,-0.005572
