problema,indicador,w0,dimension,run,valor
DTLZ5,hv,w_00,7,16,55.28534
DTLZ5,hv,w_00,7,17,63.27873
DTLZ5,hv,w_00,7,18,67.05794
DTLZ5,hv,w_00,7,19,62.52805
DTLZ6,s-energy,w_00,2,0,2428858.0
DTLZ6,s-energy,w_00,2,1,2389046.0
DTLZ6,s-energy,w_00,2,2,2389222.0
DTLZ6,s-energy,w_00,2,3,2397898.0
DTLZ6,s-energy,w_00,2,4,2383312.0
DTLZ6,s-energy,w_00,2,5,2431092.0
DTLZ6,s-energy,w_00,2,6,2431652.0
DTLZ6,s-energy,w_00,2,7,2390547.0
DTLZ6,s-energy,w_00,2,8,2386180.0
DTLZ6,s-energy,w_00,2,9,2393998.0
DTLZ6,s-energy,w_00,2,10,2407154.0
DTLZ6,s-energy,w_00,2,11,2426363.0
DTLZ6,s-energy,w_00,2,12,2410085.0
DTLZ6,s-energy,w_00,2,13,2448496.0
DTLZ6,s-energy,w_00,2,14,2372735.0
DTLZ6,s-energy,w_00,2,15,2436520.0
DTLZ6,s-energy,w_00,2,16,2367287.0
DTLZ6,s-energy,w_00,2,17,2435821.0
DTLZ6,s-energy,w_00,2,18,2428291.0
DTLZ6,s-energy,w_00,2,19,2419009.0
DTLZ7,r2,w_00,2,0,1443.12
DTLZ7,r2,w_00,2,1,1443.187
DTLZ7,r2,w_00,2,2,1443.139
DTLZ7,r2,w_00,2,3,1443.214
DTLZ7,r2,w_00,2,4,1443.162
DTLZ7,r2,w_00,2,5,1443.185
DTLZ7,r2,w_00,2,6,1443.115
DTLZ7,r2,w_00,2,7,1443.194
DTLZ7,r2,w_00,2,8,1443.258
DTLZ7,r2,w_00,2,9,1443.236
DTLZ7,r2,w_00,2,10,1443.166
DTLZ7,r2,w_00,2,11,1443.2
DTLZ7,r2,w_00,2,12,1443.193
DTLZ7,r2,w_00,2,13,1443.245
DTLZ7,r2,w_00,2,14,1443.122
DTLZ7,r2,w_00,2,15,1443.167
DTLZ7,r2,w_00,2,16,1443.183
DTLZ7,r2,w_00,2,17,1443.146
DTLZ7,r2,w_00,2,18,1443.203
DTLZ7,r2,w_00,2,19,1443.396
DTLZ3,r2,w_00,2,0,1.001839
DTLZ3,r2,w_00,2,1,1.004074
DTLZ3,r2,w_00,2,2,1.005355
DTLZ3,r2,w_00,2,3,1.004399
DTLZ3,r2,w_00,2,4,1.003252
DTLZ3,r2,w_00,2,5,1.10728
DTLZ3,r2,w_00,2,6,1.009437
DTLZ3,r2,w_00,2,7,1.003831
DTLZ3,r2,w_00,2,8,1.011283
