problema,indicador,w0,dimension,run,valor
WFG6,igd,w_00,5,7,1.746
WFG6,igd,w_00,5,8,1.762002
WFG6,igd,w_00,5,9,1.74515
DTLZ3,spd,w_00,7,0,22.4412
DTLZ3,spd,w_00,7,1,58.35137
DTLZ3,spd,w_00,7,2,55.27789
DTLZ3,spd,w_00,7,3,13.97603
DTLZ3,spd,w_00,7,4,21.69728
DTLZ3,spd,w_00,7,5,120.0
DTLZ3,spd,w_00,7,6,118.4138
DTLZ3,spd,w_00,7,7,0.0
DTLZ3,spd,w_00,7,8,106.9874
DTLZ3,spd,w_00,7,9,119.9383
WFG2,igd,w_00,3,0,0.5912025
WFG2,igd,w_00,3,1,0.5828761
WFG2,igd,w_00,3,2,0.1834441
WFG2,igd,w_00,3,3,0.1778181
WFG2,igd,w_00,3,4,0.178013
WFG2,igd,w_00,3,5,0.5876134
WFG2,igd,w_00,3,6,0.1770366
WFG2,igd,w_00,3,7,0.1811508
WFG2,igd,w_00,3,8,0.1753601
WFG2,igd,w_00,3,9,0.5807487
ZDT1,s-energy,w_00,2,0,2611257.0
ZDT1,s-energy,w_00,2,1,2619457.0
ZDT1,s-energy,w_00,2,2,2541564.0
ZDT1,s-energy,w_00,2,3,2617508.0
ZDT1,s-energy,w_00,2,4,2535497.0
ZDT1,s-energy,w_00,2,5,2563471.0
ZDT1,s-energy,w_00,2,6,2558152.0
ZDT1,s-energy,w_00,2,7,2573210.0
ZDT1,s-energy,w_00,2,8,2620742.0
ZDT1,s-energy,w_00,2,9,2568528.0
WFG7,spd,w_00,10,0,120.0
WFG7,spd,w_00,10,1,120.0
WFG7,spd,w_00,10,2,120.0
WFG7,spd,w_00,10,3,120.0
WFG7,spd,w_00,10,4,120.0
WFG7,spd,w_00,10,5,120.0
WFG7,spd,w_00,10,6,120.0
WFG7,spd,w_00,10,7,120.0
WFG7,spd,w_00,10,8,120.0
WFG7,spd,w_00,10,9,120.0
DTLZ7,igd,w_00,7,0,8.973936
DTLZ7,igd,w_00,7,1,9.042487
DTLZ7,igd,w_00,7,2,9.005762
DTLZ7,igd,w_00,7,3,8.969337
DTLZ7,igd,w_00,7,4,8.999439
DTLZ7,igd,w_00,7,5,8.972968
DTLZ7,igd,w_00,7,6,9.213034
DTLZ7,igd,w_00,7,7,8.95901
DTLZ7,igd,w_00,7,8,9.275565
DTLZ7,igd,w_00,7,9,9.002305
WFG9,s-energy,w_00,3,0,11858.28
WFG9,s-energy,w_00,3,1,11275.15
WFG9,s-energy,w_00,3,2,10799.03
WFG9,s-energy,w_00,3,3,11351.65
WFG9,s-energy,w_00,3,4,10860.61
WFG9,s-energy,w_00,3,5,11580.11
WFG9,s-energy,w_00,3,6,10189.51
WFG9,s-energy,w_00,3,7,11885.34
WFG9,s-energy,w_00,3,8,10714.67
WFG9,s-energy,w_00,3,9,11335.16
DTLZ5,igd+,w_00,4,0,0.02253095
DTLZ5,igd+,w_00,4,1,0.02207632
DTLZ5,igd+,w_00,4,2,0.02221712
DTLZ5,igd+,w_00,4,3,0.02099014
DTLZ5,igd+,w_00,4,4,0.01996402
DTLZ5,igd+,w_00,4,5,0.02129714
DTLZ5,igd+,w_00,4,6,0.01925584
DTLZ5,igd+,w_00,4,7,0.02070492
DTLZ5,igd+,w_00,4,8,0.02101892
DTLZ5,igd+,w_00,4,9,0.02191779
WFG8,s-energy,w_00,10,0,0.001397311
WFG8,s-energy,w_00,10,1,0.0011863
WFG8,s-energy,w_00,10,2,0.002678736
WFG8,s-energy,w_00,10,3,356300.2
WFG8,s-energy,w_00,10,4,0.0009323551
WFG8,s-energy,w_00,10,5,0.0001699571
WFG8,s-energy,w_00,10,6,0.0005326359
WFG8,s-energy,w_00,10,7,0.001117869
WFG8,s-energy,w_00,10,8,0.002463028
WFG8,s-energy,w_00,10,9,0.001827209
DTLZ7,spd,w_00,5,0,114.9868
DTLZ7,spd,w_00,5,1,115.1333
DTLZ7,spd,w_00,5,2,114.9099
DTLZ7,spd,w_00,5,3,114.9338
DTLZ7,spd,w_00,5,4,114.7983
DTLZ7,spd,w_00,5,5,115.5744
DTLZ7,spd,w_00,5,6,115.4223
DTLZ7,spd,w_00,5,7,114.7428
DTLZ7,spd,w_00,5,8,114.6698
DTLZ7,spd,w_00,5,9,115.6596
DTLZ3,hv,w_00,7,0,87.41049
DTLZ3,hv,w_00,7,1,0.0
DTLZ3,hv,w_00,7,2,126.3394
DTLZ3,hv,w_00,7,3,126.3788
DTLZ3,hv,w_00,7,4,116.3997
DTLZ3,hv,w_00,7,5,0.0
DTLZ3,hv,w_00,7,6,0.0
DTLZ3,hv,w_00,7,7,127.1576
DTLZ3,hv,w_00,7,8,127.6944
DTLZ3,hv,w_00,7,9,49.19421
WFG3,igd+,w_00,7,0,0.8955112
WFG3,igd+,w_00,7,1,0.9397964
WFG3,igd+,w_00,7,2,0.9059143
WFG3,igd+,w_00,7,3,0.8876966
WFG3,igd+,w_00,7,4,0.9258439
WFG3,igd+,w_00,7,5,0.9309445
WFG3,igd+,w_00,7,6,0.8892147
WFG3,igd+,w_00,7,7,0.8889858
WFG3,igd+,w_00,7,8,0.87102
WFG3,igd+,w_00,7,9,0.98049
