hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
R2,WFG7,2,s-energy,0.0
IGD+,WFG7,2,spd,0.0
R2,WFG7,2,spd,0.0
IGD+,WFG8,2,eps+,0.0
R2,WFG8,2,eps+,0.0
IGD+,WFG8,2,hv,0.0
R2,WFG8,2,hv,0.0
IGD+,WFG8,2,igd,0.0
R2,WFG8,2,igd,0.0
IGD+,WFG8,2,igd+,0.0
R2,WFG8,2,igd+,0.0
IGD+,WFG8,2,r2,0.0
R2,WFG8,2,r2,0.0
IGD+,WFG8,2,s-energy,0.0
R2,WFG8,2,s-energy,0.0
IGD+,WFG8,2,spd,0.0
R2,WFG8,2,spd,0.0
IGD+,WFG9,2,eps+,1.0
R2,WFG9,2,eps+,0.0
IGD+,WFG9,2,hv,0.0
R2,WFG9,2,hv,0.0
IGD+,WFG9,2,igd,1.0
R2,WFG9,2,igd,0.0
IGD+,WFG9,2,igd+,0.0
R2,WFG9,2,igd+,0.0
IGD+,WFG9,2,r2,0.0
R2,WFG9,2,r2,0.0
IGD+,WFG9,2,s-energy,0.0
R2,WFG9,2,s-energy,0.0
IGD+,WFG9,2,spd,0.0
R2,WFG9,2,spd,0.0
IGD+,DTLZ1,3,eps+,0.0
R2,DTLZ1,3,eps+,0.0
IGD+,DTLZ1,3,hv,0.0
R2,DTLZ1,3,hv,0.0
IGD+,DTLZ1,3,igd,0.0
R2,DTLZ1,3,igd,0.0
IGD+,DTLZ1,3,igd+,0.0
R2,DTLZ1,3,igd+,0.0
IGD+,DTLZ1,3,r2,0.0
R2,DTLZ1,3,r2,0.0
IGD+,DTLZ1,3,s-energy,0.0
R2,DTLZ1,3,s-energy,0.0
IGD+,DTLZ1,3,spd,0.0
R2,DTLZ1,3,spd,0.0
IGD+,DTLZ2,3,eps+,0.0
R2,DTLZ2,3,eps+,0.0
IGD+,DTLZ2,3,hv,1.0
R2,DTLZ2,3,hv,0.0
IGD+,DTLZ2,3,igd,1.0
R2,DTLZ2,3,igd,0.0
IGD+,DTLZ2,3,igd+,1.0
R2,DTLZ2,3,igd+,0.0
IGD+,DTLZ2,3,r2,1.0
R2,DTLZ2,3,r2,1.0
IGD+,DTLZ2,3,s-energy,1.0
R2,DTLZ2,3,s-energy,0.0
IGD+,DTLZ2,3,spd,1.0
R2,DTLZ2,3,spd,0.0
IGD+,DTLZ3,3,eps+,0.0
R2,DTLZ3,3,eps+,0.0
IGD+,DTLZ3,3,hv,1.0
R2,DTLZ3,3,hv,0.0
IGD+,DTLZ3,3,igd,0.0
R2,DTLZ3,3,igd,0.0
IGD+,DTLZ3,3,igd+,1.0
R2,DTLZ3,3,igd+,0.0
IGD+,DTLZ3,3,r2,0.0
R2,DTLZ3,3,r2,0.0
IGD+,DTLZ3,3,s-energy,1.0
R2,DTLZ3,3,s-energy,0.0
IGD+,DTLZ3,3,spd,1.0
R2,DTLZ3,3,spd,0.0
IGD+,DTLZ4,3,eps+,0.0
R2,DTLZ4,3,eps+,0.0
IGD+,DTLZ4,3,hv,0.0
R2,DTLZ4,3,hv,0.0
IGD+,DTLZ4,3,igd,0.0
R2,DTLZ4,3,igd,0.0
IGD+,DTLZ4,3,igd+,0.0
R2,DTLZ4,3,igd+,0.0
IGD+,DTLZ4,3,r2,0.0
R2,DTLZ4,3,r2,0.0
IGD+,DTLZ4,3,s-energy,0.0
R2,DTLZ4,3,s-energy,0.0
IGD+,DTLZ4,3,spd,0.0
R2,DTLZ4,3,spd,0.0
IGD+,DTLZ5,3,eps+,0.0
R2,DTLZ5,3,eps+,0.0
IGD+,DTLZ5,3,hv,0.0
R2,DTLZ5,3,hv,0.0
IGD+,DTLZ5,3,igd,0.0
R2,DTLZ5,3,igd,0.0
IGD+,DTLZ5,3,igd+,0.0
R2,DTLZ5,3,igd+,0.0
IGD+,DTLZ5,3,r2,0.0
R2,DTLZ5,3,r2,0.0
IGD+,DTLZ5,3,s-energy,0.0
R2,DTLZ5,3,s-energy,0.0
IGD+,DTLZ5,3,spd,0.0
R2,DTLZ5,3,spd,0.0
IGD+,DTLZ6,3,eps+,0.0
R2,DTLZ6,3,eps+,0.0
IGD+,DTLZ6,3,hv,0.0
R2,DTLZ6,3,hv,0.0
IGD+,DTLZ6,3,igd,0.0
R2,DTLZ6,3,igd,0.0
IGD+,DTLZ6,3,igd+,0.0
R2,DTLZ6,3,igd+,0.0
IGD+,DTLZ6,3,r2,0.0
R2,DTLZ6,3,r2,0.0
IGD+,DTLZ6,3,s-energy,0.0
R2,DTLZ6,3,s-energy,0.0
IGD+,DTLZ6,3,spd,0.0
R2,DTLZ6,3,spd,0.0
IGD+,DTLZ7,3,eps+,0.0
R2,DTLZ7,3,eps+,0.0
IGD+,DTLZ7,3,hv,0.0
R2,DTLZ7,3,hv,0.0
IGD+,DTLZ7,3,igd,0.0
R2,DTLZ7,3,igd,0.0
IGD+,DTLZ7,3,igd+,1.0
R2,DTLZ7,3,igd+,0.0
IGD+,DTLZ7,3,r2,0.0
R2,DTLZ7,3,r2,0.0
IGD+,DTLZ7,3,s-energy,0.0
R2,DTLZ7,3,s-energy,0.0
IGD+,DTLZ7,3,spd,0.0
R2,DTLZ7,3,spd,0.0
IGD+,WFG1,3,eps+,1.0
R2,WFG1,3,eps+,0.0
IGD+,WFG1,3,hv,1.0
R2,WFG1,3,hv,1.0
IGD+,WFG1,3,igd,1.0
R2,WFG1,3,igd,1.0
IGD+,WFG1,3,igd+,1.0
R2,WFG1,3,igd+,1.0
IGD+,WFG1,3,r2,1.0
R2,WFG1,3,r2,0.0
IGD+,WFG1,3,s-energy,0.0
R2,WFG1,3,s-energy,0.0
IGD+,WFG1,3,spd,0.0
R2,WFG1,3,spd,0.0
IGD+,WFG2,3,eps+,0.0
R2,WFG2,3,eps+,0.0
IGD+,WFG2,3,hv,0.0
R2,WFG2,3,hv,0.0
IGD+,WFG2,3,igd,0.0
R2,WFG2,3,igd,0.0
IGD+,WFG2,3,igd+,0.0
R2,WFG2,3,igd+,0.0
IGD+,WFG2,3,r2,0.0
R2,WFG2,3,r2,0.0
IGD+,WFG2,3,s-energy,0.0
R2,WFG2,3,s-energy,0.0
IGD+,WFG2,3,spd,0.0
R2,WFG2,3,spd,0.0
IGD+,WFG3,3,eps+,1.0
R2,WFG3,3,eps+,0.0
IGD+,WFG3,3,hv,0.0
R2,WFG3,3,hv,0.0
IGD+,WFG3,3,igd,0.0
R2,WFG3,3,igd,0.0
IGD+,WFG3,3,igd+,1.0
R2,WFG3,3,igd+,0.0
IGD+,WFG3,3,r2,0.0
R2,WFG3,3,r2,0.0
IGD+,WFG3,3,s-energy,0.0
R2,WFG3,3,s-energy,0.0
IGD+,WFG3,3,spd,0.0
R2,WFG3,3,spd,0.0
IGD+,WFG4,3,eps+,0.0
R2,WFG4,3,eps+,0.0
IGD+,WFG4,3,hv,1.0
R2,WFG4,3,hv,0.0
IGD+,WFG4,3,igd,1.0
R2,WFG4,3,igd,0.0
IGD+,WFG4,3,igd+,1.0
R2,WFG4,3,igd+,0.0
IGD+,WFG4,3,r2,1.0
R2,WFG4,3,r2,0.0
IGD+,WFG4,3,s-energy,1.0
R2,WFG4,3,s-energy,0.0
IGD+,WFG4,3,spd,1.0
R2,WFG4,3,spd,0.0
IGD+,WFG5,3,eps+,0.0
R2,WFG5,3,eps+,0.0
IGD+,WFG5,3,hv,1.0
R2,WFG5,3,hv,0.0
IGD+,WFG5,3,igd,1.0
R2,WFG5,3,igd,0.0
IGD+,WFG5,3,igd+,1.0
R2,WFG5,3,igd+,0.0
IGD+,WFG5,3,r2,1.0
R2,WFG5,3,r2,0.0
IGD+,WFG5,3,s-energy,1.0
R2,WFG5,3,s-energy,0.0
IGD+,WFG5,3,spd,1.0
R2,WFG5,3,spd,0.0
IGD+,WFG6,3,eps+,1.0
R2,WFG6,3,eps+,0.0
IGD+,WFG6,3,hv,1.0
R2,WFG6,3,hv,0.0
IGD+,WFG6,3,igd,1.0
R2,WFG6,3,igd,0.0
IGD+,WFG6,3,igd+,1.0
R2,WFG6,3,igd+,0.0
