problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
WFG4,10,9.598103e-01 +- 9.598103e-01,1.045986e+00 +- 1.045986e+00,9.223968e-01 +- 9.223968e-01,8.563478e-01 +- 8.563478e-01,9.454000e-01 +- 9.454000e-01,9.703633e-01 +- 9.703633e-01,9.066891e-01 +- 9.066891e-01,8.672686e-01 +- 8.672686e-01,8.378659e-01 +- 8.378659e-01,8.791141e-01 +- 8.791141e-01,8.031723e-01 +- 8.031723e-01
WFG5,3,,,,,,,,,,,
WFG5,5,1.135383e-01 +- 1.135383e-01,1.121883e-01 +- 1.121883e-01,1.111735e-01 +- 1.111735e-01,1.148085e-01 +- 1.148085e-01,1.146491e-01 +- 1.146491e-01,1.130565e-01 +- 1.130565e-01,1.129657e-01 +- 1.129657e-01,1.108050e-01 +- 1.108050e-01,1.110055e-01 +- 1.110055e-01,1.101058e-01 +- 1.101058e-01,1.118568e-01 +- 1.118568e-01
WFG5,7,,,,,,,,,,,
WFG5,10,7.441496e-01 +- 7.441496e-01,4.845038e-01 +- 4.845038e-01,4.494401e-01 +- 4.494401e-01,4.576635e-01 +- 4.576635e-01,5.143188e-01 +- 5.143188e-01,4.171374e-01 +- 4.171374e-01,4.052294e-01 +- 4.052294e-01,3.716308e-01 +- 3.716308e-01,3.551809e-01 +- 3.551809e-01,3.675511e-01 +- 3.675511e-01,3.562293e-01 +- 3.562293e-01
WFG6,3,,,,,,,,,,,
WFG6,5,2.135018e-01 +- 2.135018e-01,2.046395e-01 +- 2.046395e-01,1.964029e-01 +- 1.964029e-01,2.072528e-01 +- 2.072528e-01,2.039822e-01 +- 2.039822e-01,1.990771e-01 +- 1.990771e-01,1.949439e-01 +- 1.949439e-01,1.987255e-01 +- 1.987255e-01,2.055407e-01 +- 2.055407e-01,1.964563e-01 +- 1.964563e-01,1.932982e-01 +- 1.932982e-01
WFG6,7,1.011907e+00 +- 1.011907e+00,9.982752e-01 +- 9.982752e-01,9.905828e-01 +- 9.905828e-01,1.001990e+00 +- 1.001990e+00,9.931327e-01 +- 9.931327e-01,9.944977e-01 +- 9.944977e-01,9.920551e-01 +- 9.920551e-01,9.833738e-01 +- 9.833738e-01,9.841019e-01 +- 9.841019e-01,9.858974e-01 +- 9.858974e-01,9.679018e-01 +- 9.679018e-01
WFG6,10,,,,,,,,,,,
WFG7,3,1.712046e-01 +- 1.712046e-01,1.494127e-01 +- 1.494127e-01,1.544357e-01 +- 1.544357e-01,1.365481e-01 +- 1.365481e-01,1.638414e-01 +- 1.638414e-01,1.323698e-01 +- 1.323698e-01,1.298085e-01 +- 1.298085e-01,1.412683e-01 +- 1.412683e-01,1.341849e-01 +- 1.341849e-01,1.320648e-01 +- 1.320648e-01,1.307672e-01 +- 1.307672e-01
WFG7,5,,,,,,,,,,,
WFG7,7,,,,,,,,,,,
