problema,Indicador,dimension,w_0,IGD+,R2
DTLZ1,r2,6,0.999,0.8125,0.2158203125
DTLZ1,r2,7,0.001,0.2158203125,0.8125
DTLZ1,r2,7,0.1,0.384765625,0.65234375
DTLZ1,r2,7,0.2,0.1611328125,0.8623046875
DTLZ1,r2,7,0.3,0.5771484375,0.4609375
DTLZ1,r2,7,0.4,0.4609375,0.5771484375
DTLZ1,r2,7,0.5,0.615234375,0.4228515625
DTLZ1,r2,7,0.6000000000000001,0.5390625,0.5
DTLZ1,r2,7,0.7000000000000001,0.5,0.5390625
DTLZ1,r2,7,0.8,0.65234375,0.384765625
DTLZ1,r2,7,0.9,0.1611328125,0.8623046875
DTLZ1,r2,7,0.999,0.9677734375,0.0419921875
DTLZ1,s-energy,2,0.001,1.0,0.0009765625
DTLZ1,s-energy,2,0.1,1.0,0.0009765625
DTLZ1,s-energy,2,0.2,1.0,0.0009765625
DTLZ1,s-energy,2,0.3,1.0,0.0009765625
DTLZ1,s-energy,2,0.4,1.0,0.0009765625
DTLZ1,s-energy,2,0.5,1.0,0.0009765625
DTLZ1,s-energy,2,0.6000000000000001,1.0,0.0009765625
DTLZ1,s-energy,2,0.7000000000000001,1.0,0.0009765625
DTLZ1,s-energy,2,0.8,1.0,0.0009765625
DTLZ1,s-energy,2,0.9,1.0,0.0009765625
DTLZ1,s-energy,2,0.999,1.0,0.0009765625
DTLZ1,s-energy,3,0.001,0.0009765625,1.0
DTLZ1,s-energy,3,0.1,0.0009765625,1.0
DTLZ1,s-energy,3,0.2,0.0009765625,1.0
DTLZ1,s-energy,3,0.3,0.0009765625,1.0
DTLZ1,s-energy,3,0.4,0.0009765625,1.0
DTLZ1,s-energy,3,0.5,0.0009765625,1.0
DTLZ1,s-energy,3,0.6000000000000001,0.0009765625,1.0
DTLZ1,s-energy,3,0.7000000000000001,0.0009765625,1.0
DTLZ1,s-energy,3,0.8,0.0009765625,1.0
DTLZ1,s-energy,3,0.9,0.0009765625,1.0
DTLZ1,s-energy,3,0.999,0.0009765625,1.0
DTLZ1,s-energy,4,0.001,0.0009765625,1.0
DTLZ1,s-energy,4,0.1,0.0009765625,1.0
DTLZ1,s-energy,4,0.2,0.0009765625,1.0
DTLZ1,s-energy,4,0.3,0.0009765625,1.0
DTLZ1,s-energy,4,0.4,0.0009765625,1.0
DTLZ1,s-energy,4,0.5,0.0009765625,1.0
DTLZ1,s-energy,4,0.6000000000000001,0.0009765625,1.0
DTLZ1,s-energy,4,0.7000000000000001,0.0009765625,1.0
DTLZ1,s-energy,4,0.8,0.0419921875,0.9677734375
DTLZ1,s-energy,4,0.9,0.0009765625,1.0
DTLZ1,s-energy,4,0.999,0.0009765625,1.0
DTLZ1,s-energy,5,0.001,0.0419921875,0.9677734375
DTLZ1,s-energy,5,0.1,0.0009765625,1.0
DTLZ1,s-energy,5,0.2,0.0009765625,1.0
DTLZ1,s-energy,5,0.3,0.0009765625,1.0
DTLZ1,s-energy,5,0.4,0.0009765625,1.0
DTLZ1,s-energy,5,0.5,0.0419921875,0.9677734375
DTLZ1,s-energy,5,0.6000000000000001,0.0009765625,1.0
DTLZ1,s-energy,5,0.7000000000000001,0.1162109375,0.9033203125
DTLZ1,s-energy,5,0.8,0.0009765625,1.0
DTLZ1,s-energy,5,0.9,0.0009765625,1.0
DTLZ1,s-energy,5,0.999,0.0009765625,1.0
